ts,cpu_percent,rss_mb,power_w,energy_j_total
1757607121.5495582,0.00,321.40,0.000,0.000000
1757607122.549786,0.00,321.40,0.125,0.125039
1757607123.5497718,0.00,321.40,0.210,0.335386
1757607124.5495524,0.00,321.40,0.340,0.674846
1757607125.549557,1.00,321.40,0.688,1.363027
1757607126.549559,0.00,321.40,1.145,2.507957
1757607127.5495582,0.00,321.40,0.753,3.260772
1757607128.5495522,0.00,321.40,0.929,4.190198
1757607129.5495596,0.00,321.40,1.122,5.312439
1757607130.5498152,0.00,321.40,0.848,6.160768
1757607131.5498052,0.00,321.40,0.731,6.891504
1757607132.549613,0.00,321.40,0.375,7.266821
1757607133.5497901,0.00,321.40,0.153,7.420057
1757607134.5496023,1.00,321.40,0.290,7.709608
1757607135.5495522,1.00,321.40,0.610,8.319928
1757607136.5495524,0.00,321.40,0.752,9.071796
1757607137.5495553,0.00,321.40,0.662,9.733993
1757607138.5495603,0.00,321.40,0.260,9.994387
1757607139.5495589,0.00,321.40,1.063,11.057823
1757607140.5495553,0.00,321.40,1.126,12.183650
1757607141.5495763,0.00,321.40,0.505,12.688446
1757607142.549559,0.00,321.40,0.168,12.856375
1757607143.5495613,0.00,321.40,0.594,13.450262
1757607144.5499191,0.00,321.40,0.167,13.617750
1757607145.5495577,0.00,321.40,0.278,13.895521
1757607146.5495725,0.00,321.40,0.244,14.139939
1757607147.549574,1.00,321.40,0.381,14.521038
1757607148.549573,0.00,321.40,0.455,14.975803
1757607149.5495613,0.00,321.40,0.246,15.221869
1757607150.5497777,0.00,321.40,0.195,15.417019
1757607151.5495536,0.00,321.40,0.167,15.584185
1757607152.5497987,1.00,321.40,0.381,15.965040
1757607153.5495684,0.00,321.40,0.349,16.314189
1757607154.5495594,0.00,321.40,0.237,16.551375
1757607155.5495567,0.00,321.40,0.335,16.886639
1757607156.5495572,0.00,321.40,0.233,17.119384
1757607157.5495553,0.00,321.40,0.193,17.312139
1757607158.549559,0.00,321.40,1.036,18.347653
1757607159.549577,0.00,321.40,0.584,18.931943
1757607160.549554,0.00,321.40,0.378,19.310113
1757607161.5495534,1.00,321.40,0.217,19.526959
1757607162.549554,0.00,321.40,1.497,21.024242
1757607163.5495622,0.00,321.40,0.423,21.446858
1757607164.5495532,0.00,321.40,0.599,22.045704
1757607165.5495522,0.00,321.40,0.483,22.528528
1757607166.5495803,0.00,321.40,0.374,22.902182
1757607167.5495532,1.00,321.40,0.447,23.348814
1757607168.5495577,0.00,321.40,0.719,24.067527
1757607169.5497909,0.00,321.40,0.733,24.801116
1757607170.5495527,0.00,321.40,0.240,25.041368
1757607171.5495517,0.00,321.40,0.152,25.193491
1757607172.5498261,0.00,321.40,0.296,25.489938
1757607173.549813,0.00,321.40,0.135,25.624575
1757607174.5498295,0.00,321.40,0.180,25.804390
1757607175.5498269,1.00,321.40,0.148,25.952240
1757607176.5495687,0.00,321.40,0.092,26.043926
1757607177.5498219,0.00,321.40,0.114,26.158346
1757607178.5500104,0.00,321.40,0.139,26.297163
1757607179.5495796,1.00,321.40,0.101,26.398354
1757607180.549557,0.00,321.40,0.694,27.091876
1757607181.5495615,1.00,321.40,0.196,27.288368
1757607182.5495577,0.00,321.40,0.889,28.177437
1757607183.5495586,0.00,321.40,0.631,28.808691
1757607184.5495558,0.00,321.40,0.747,29.556012
1757607185.5495574,0.00,321.40,0.915,30.471065
1757607186.549572,0.00,321.40,0.572,31.043515
1757607187.5495658,0.00,321.40,0.499,31.542100
1757607188.5495703,1.00,321.40,0.169,31.711510
1757607189.5495558,0.00,321.40,0.541,32.252726
1757607190.5495596,0.00,321.40,0.717,32.969700
1757607191.5495574,0.00,321.40,0.347,33.316331
1757607192.549568,0.00,321.40,0.474,33.790779
1757607193.5495596,0.00,321.40,0.730,34.521057
1757607194.5495512,0.00,321.40,0.799,35.319981
1757607195.5495534,0.00,321.40,1.187,36.507221
1757607196.5495582,0.00,321.40,1.021,37.527890
1757607197.5495882,1.00,321.40,0.207,37.734850
1757607198.5495605,0.00,321.40,0.262,37.996402
1757607199.5495582,0.00,321.40,0.849,38.844900
1757607200.549823,0.00,321.40,0.348,39.192751
1757607201.5495775,0.00,321.40,0.259,39.451512
1757607202.5498195,0.00,321.40,0.279,39.731054
1757607203.5495768,0.00,321.40,0.204,39.935251
1757607204.5495536,0.00,321.40,0.248,40.183362
1757607205.549808,0.00,321.40,0.209,40.392427
1757607206.549786,1.00,321.40,0.266,40.658542
1757607207.5495563,0.00,321.40,0.263,40.921529
1757607208.549552,1.00,321.40,0.546,41.467475
1757607209.54958,0.00,321.40,0.260,41.727410
1757607210.5497868,0.00,321.40,0.185,41.912597
1757607211.5495532,0.00,321.40,0.341,42.253659
1757607212.5497816,0.00,321.40,0.335,42.589213
1757607213.5498312,0.00,321.40,0.357,42.946280
1757607214.549971,0.00,321.40,0.333,43.278996
1757607215.5499263,1.00,321.40,0.364,43.643479
1757607216.5498824,0.00,321.40,0.267,43.910632
1757607217.5497525,0.00,321.40,0.339,44.249298
1757607218.5495586,0.00,321.40,0.463,44.711768
1757607219.5495546,1.00,321.40,0.791,45.502484
1757607220.5495913,0.00,321.40,0.460,45.962497
1757607221.5495703,0.00,321.40,0.345,46.307130
1757607222.549586,0.00,321.40,0.457,46.763725
1757607223.5496008,0.00,321.40,0.186,46.949873
1757607224.5495543,0.00,321.40,0.786,47.736270
1757607225.5497656,0.00,321.40,0.434,48.170299
1757607226.549559,0.00,321.40,0.777,48.947511
1757607227.5498714,0.00,321.40,0.401,49.348873
1757607228.5495694,0.00,321.40,0.774,50.122759
1757607229.5498142,1.00,321.40,0.155,50.277810
1757607230.5495913,0.00,321.40,0.205,50.483107
1757607231.5495558,0.00,321.40,0.276,50.759292
1757607232.5495589,0.00,321.40,0.285,51.044296
1757607233.5497744,1.00,321.40,0.163,51.207023
1757607234.5495763,0.00,321.40,0.218,51.424510
1757607235.5497692,0.00,321.40,0.148,51.572360
1757607236.5497854,0.00,321.40,0.197,51.769387
1757607237.549771,0.00,321.40,0.130,51.899797
1757607238.5495799,0.00,321.40,0.198,52.097403
1757607239.5499108,1.00,321.40,0.085,52.182284
1757607240.5495667,1.00,321.40,0.165,52.347604
1757607241.5499122,0.00,321.40,0.095,52.442158
1757607242.5498114,0.00,321.40,0.077,52.519440
1757607243.5495882,0.00,321.40,0.205,52.724080
1757607244.549821,0.00,321.40,0.129,52.852781
1757607245.5497646,0.00,321.40,0.157,53.010106
1757607246.5497782,0.00,321.40,0.201,53.210612
1757607247.5497963,1.00,321.40,0.177,53.387833
1757607248.5498114,0.00,321.40,0.280,53.667604
1757607249.5497918,1.00,321.40,0.251,53.918308
1757607250.5498836,0.00,321.40,0.212,54.130349
1757607251.5501456,1.00,321.40,0.297,54.426964
1757607252.5495586,0.00,321.40,0.244,54.670848
1757607253.5495548,0.00,321.40,0.127,54.798207
1757607254.549799,0.00,321.40,0.286,55.084141
1757607255.549577,0.00,321.40,0.098,55.182510
1757607256.5498042,0.00,321.40,0.301,55.483642
1757607257.5498025,0.00,321.40,0.151,55.634543
1757607258.549801,0.00,321.40,0.210,55.844524
1757607259.5495622,1.00,321.40,0.170,56.014406
1757607260.5497904,0.00,321.40,0.190,56.204094
